id,content,location,service,price,environment,dish
2,攻略了一堆大连美食，还是选择了正黄旗，看看究竟多火?果然名不虚传，门口一堆辽B豪车，看来也是本地人的首选，人要了四个菜，海胆一只，海肠水饺一份，酱拌鲍螺一份，烤鸟贝烤牛舌两串～花了260多～海肠水饺味道很棒，但是119价格是贵了点，牛舌好吃，海胆比较鸡肋，感觉味道一般，俩人光盘啦，也算没白来一趟大连呀～,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
5,"图片没有全部上传，最多只能九张，买单为了凑数后来又加了一个饮料8元，别提了就是上当受骗，太贵了，随便去个小店海肠68一斤遍地都是，他家199只是一份肯定不足一斤了，海肠饺子119元一份，同样的海胆69元一个别家小店15元
一个，相似度百分之90以上，基本一样，因本人只是肉眼观测从不说满话，绝对的坑，和老婆花了900元，在美团拍了九张卷等于是花了800元，没有龙虾，没有喝酒，具体不爱详细说了，后来逛街才知道，被坑的很惨，花钱不怕但是一定要值得，切记正黄旗绝对宰人，不懂为什么人多去吃的原因，环境也一般，实在是大连最傻的体验",Not Mentioned,Not Mentioned,Negative,Neutral,Not Mentioned
6,价格贵，不过也有价格中等的！关键口味太咸，味道感觉一般吧！大连的海鲜普遍比一线城市上海贵一倍，上海小青龙178一斤，贵的时候也才198，大连起步价格398，价格真心太贵！可能旅游城市，都是物价超级贵！,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
7,【口味】味道挺好的，烤串火候差点，上来就是凉的…辣炒虾爬子好吃！海胆小贵也不算好吃。生蚝得赞??服务热情但是对慕名而来的外地人，海鲜介绍的不清楚…大概是因为客人太多吧…,Not Mentioned,Positive,Negative,Not Mentioned,Neutral
9,"【口味】整体口味还是不错的，但是有点小贵
【环境】环境还是bu?cuo?de
【服务】人比较多，感觉有点顾不过来",Not Mentioned,Neutral,Negative,Positive,Positive
10,真的一般，在地下吃的，一进去一股难闻的气味。点了清蒸梭子蟹，不给任何调料。要姜末说得现切。然后10分钟后螃蟹凉了才上来。价格偏贵。,Not Mentioned,Negative,Negative,Negative,Neutral
11,烧烤味道，虽然海鲜较贵但是胜在新鲜,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
14,除了贵其他都好,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
16,"两个人432，还没吃饱，为什么呢？因为被坑了，海胆和鲍鱼千万别尝试，没什么特色，量少，特别贵，两个海胆就是两小碗鸡蛋138。
但是服务还是很热情，其他菜还可以。",Not Mentioned,Positive,Negative,Not Mentioned,Negative
17,贵，没觉得太好吃，还行，可以尝试,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
